Question,Option1,Option2,Option3,Option4,Answer
Which is the largest ocean?,Atlantic,Arctic,Indian,Pacific,Pacific
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
What is the capital of Australia?,Melbourne,Sydney,Canberra,Brisbane,Canberra
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
Which is the hottest planet in the solar system?,Venus,Mercury,Neptune,Mars,Venus
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Which river is the longest in the world?,Nile,Amazon,Yangtze,Mississippi,Nile
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
Which continent has the most countries?,Europe,Africa,Asia,South America,Africa
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
Which is the hottest planet in the solar system?,Venus,Neptune,Mars,Mercury,Venus
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
Where is Mount Everest located?,Bhutan,India,Nepal,China,Nepal
Where is Mount Everest located?,China,India,Bhutan,Nepal,Nepal
Which is the largest ocean?,Atlantic,Indian,Arctic,Pacific,Pacific
What protects Earth from solar winds?,Magnetosphere,Clouds,Atmosphere,Ozone Layer,Magnetosphere
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
What is the smallest country?,Nauru,Tuvalu,Monaco,Vatican City,Vatican City
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
Which country has the most islands?,Philippines,Sweden,Indonesia,Finland,Sweden
Which continent has the most countries?,Europe,South America,Africa,Asia,Africa
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
Which country has the most islands?,Sweden,Indonesia,Finland,Philippines,Sweden
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which is the largest ocean?,Arctic,Pacific,Indian,Atlantic,Pacific
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
Which continent has the most countries?,Europe,Asia,Africa,South America,Africa
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,Mars
Which planet is known as the Red Planet?,Venus,Mars,Mercury,Jupiter,Mars
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which planet is farthest from the sun?,Neptune,Saturn,Uranus,Jupiter,Neptune
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
Which is the largest desert?,Gobi,Antarctic,Sahara,Kalahari,Antarctic
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
Which river is the longest in the world?,Amazon,Mississippi,Yangtze,Nile,Nile
What is the smallest country?,Monaco,Nauru,Vatican City,Tuvalu,Vatican City
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
What is the largest planet in our solar system?,Saturn,Mars,Earth,Jupiter,Jupiter
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
Which country has the most islands?,Philippines,Indonesia,Sweden,Finland,Sweden
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Which is the largest desert?,Kalahari,Gobi,Antarctic,Sahara,Antarctic
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
Where is Mount Everest located?,Bhutan,China,Nepal,India,Nepal
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
Which planet has the most moons?,Earth,Saturn,Jupiter,Mars,Saturn
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which continent has the most countries?,South America,Africa,Europe,Asia,Africa
Which galaxy do we live in?,Sombrero,Andromeda,Whirlpool,Milky Way,Milky Way
What is the largest planet in our solar system?,Mars,Earth,Jupiter,Saturn,Jupiter
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
Which galaxy do we live in?,Sombrero,Whirlpool,Milky Way,Andromeda,Milky Way
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which continent has the most countries?,Asia,Africa,South America,Europe,Africa
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,Mars
Which is the largest desert?,Gobi,Antarctic,Kalahari,Sahara,Antarctic
Which is the largest desert?,Sahara,Kalahari,Gobi,Antarctic,Antarctic
Which river is the longest in the world?,Nile,Mississippi,Yangtze,Amazon,Nile
Which is the hottest planet in the solar system?,Neptune,Venus,Mars,Mercury,Venus
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
Which galaxy do we live in?,Whirlpool,Milky Way,Andromeda,Sombrero,Milky Way
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
Which is the hottest planet in the solar system?,Neptune,Mars,Venus,Mercury,Venus
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
Which river is the longest in the world?,Nile,Mississippi,Yangtze,Amazon,Nile
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which planet is farthest from the sun?,Neptune,Jupiter,Saturn,Uranus,Neptune
Which country has the most islands?,Finland,Indonesia,Sweden,Philippines,Sweden
Which planet has the most moons?,Jupiter,Saturn,Mars,Earth,Saturn
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
Which galaxy do we live in?,Sombrero,Milky Way,Whirlpool,Andromeda,Milky Way
Which planet is known as the Red Planet?,Mars,Mercury,Venus,Jupiter,Mars
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
What is the capital of Australia?,Melbourne,Brisbane,Canberra,Sydney,Canberra
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
Which country has the most islands?,Finland,Indonesia,Philippines,Sweden,Sweden
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
Which is the hottest planet in the solar system?,Venus,Mars,Mercury,Neptune,Venus
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which is the largest ocean?,Atlantic,Indian,Arctic,Pacific,Pacific
Which continent has the most countries?,Asia,South America,Europe,Africa,Africa
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
What is the capital of Australia?,Sydney,Canberra,Brisbane,Melbourne,Canberra
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
What is the capital of Australia?,Brisbane,Melbourne,Canberra,Sydney,Canberra
Which is the largest desert?,Kalahari,Antarctic,Gobi,Sahara,Antarctic
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
Which river is the longest in the world?,Nile,Yangtze,Mississippi,Amazon,Nile
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
Which country has the most islands?,Finland,Philippines,Indonesia,Sweden,Sweden
Which is the hottest planet in the solar system?,Mars,Neptune,Venus,Mercury,Venus
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
What is the capital of Australia?,Canberra,Brisbane,Sydney,Melbourne,Canberra
What is the capital of Australia?,Melbourne,Brisbane,Canberra,Sydney,Canberra
Where is Mount Everest located?,India,Nepal,Bhutan,China,Nepal
Where is Mount Everest located?,China,India,Bhutan,Nepal,Nepal
Which planet has the most moons?,Earth,Jupiter,Saturn,Mars,Saturn
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
What is the capital of Australia?,Brisbane,Sydney,Canberra,Melbourne,Canberra
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
Which river is the longest in the world?,Yangtze,Amazon,Nile,Mississippi,Nile
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
What is the smallest country?,Nauru,Vatican City,Tuvalu,Monaco,Vatican City
Which planet is farthest from the sun?,Jupiter,Saturn,Neptune,Uranus,Neptune
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which is the largest ocean?,Atlantic,Indian,Arctic,Pacific,Pacific
What is the capital of Australia?,Canberra,Sydney,Brisbane,Melbourne,Canberra
What is the smallest country?,Tuvalu,Vatican City,Monaco,Nauru,Vatican City
Where is Mount Everest located?,Nepal,Bhutan,China,India,Nepal
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
Which is the largest ocean?,Pacific,Indian,Arctic,Atlantic,Pacific
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
Which is the largest ocean?,Arctic,Pacific,Atlantic,Indian,Pacific
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
Which continent has the most countries?,Africa,Asia,Europe,South America,Africa
Which planet has the most moons?,Jupiter,Mars,Earth,Saturn,Saturn
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
What is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,Jupiter
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
Which continent has the most countries?,Europe,Africa,Asia,South America,Africa
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
Which is the hottest planet in the solar system?,Mercury,Mars,Neptune,Venus,Venus
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Where is Mount Everest located?,Nepal,Bhutan,India,China,Nepal
Where is Mount Everest located?,China,India,Nepal,Bhutan,Nepal
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
Which is the largest desert?,Kalahari,Gobi,Sahara,Antarctic,Antarctic
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Which planet is farthest from the sun?,Saturn,Jupiter,Uranus,Neptune,Neptune
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
Which planet is farthest from the sun?,Uranus,Jupiter,Neptune,Saturn,Neptune
